Session Name			TEST01	Queue ID	19052415521725243345	User	SD02
Log date			24.05.2019	TemSe ID	BDCLG172524334537375

	Log time	Log message						Trans.	 Index	Modules	Dynp	Ind	T	ID	No.

	15:50:28	Session TEST01 is being processed by user SD02 in mode N on server it1-bss4ap91											S	00	300
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     1	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     1				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     2	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     2				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     3	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     3				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     4	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     4				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     5	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     5				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     6	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     6				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     7	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     7				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     8	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     8				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	     9	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	     9				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	    10	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	    10				S	00	357
	15:50:28	Field RC29N-STLAL. does not exist in dynpro SAPLCSDI 0102						CS05	    11	SAPLCSDI	0102	  1	S	00	349
	15:50:28	Transaction error						CS05	    11				S	00	357
	15:50:28	Alternative 1 already exists						CS01	    12	SAPLCSDI	0100	  1	E	29	003
